SUBDIVISION,YEAR,JF,MAM,JJAS,OND
"Konkan & Goa",2006,0,221.7,3035.6,224.9
"Konkan & Goa",2007,0,36.9,3369.9,61.7
"Konkan & Goa",2008,0.1,43,2949.3,60.6
"Konkan & Goa",2009,0,5.9,2282.2,428.5
"Konkan & Goa",2010,2.7,9.7,3467.4,298.3
"Konkan & Goa",2011,0,4.5,3697.3,123.5
"Konkan & Goa",2012,0,1.7,2839.3,177.4
"Konkan & Goa",2013,7.3,18.7,3345.2,152.8
"Konkan & Goa",2014,6.6,23.8,2608.8,118.4
"Konkan & Goa",2015,2.7,51.7,1908.7,118.8
"Konkan & Goa",2016,0.1,4.4,3551,108.5
"Konkan & Goa",2017,0,47,3213.8,182.6
"Madhya Maharashtra",1997,3.3,24.3,807.4,166
"Madhya Maharashtra",1998,0.2,21.4,894.8,184.7
"Madhya Maharashtra",1999,6.7,39.3,742.1,177.7
"Madhya Maharashtra",2000,1.5,20.5,618.2,61.3
"Madhya Maharashtra",2001,4.4,13.5,635.4,131.8
"Madhya Maharashtra",2002,4.9,28.3,664.7,42.3
"Madhya Maharashtra",2003,3,22.3,714.2,33.1
"Madhya Maharashtra",2004,0.2,53.7,925.5,50.2
"Madhya Maharashtra",2005,4,20.5,1134.2,62.7
"Madhya Maharashtra",2006,0,49.7,1260.4,85.6
"Madhya Maharashtra",2007,1.7,7.6,1023.7,7.3
"Madhya Maharashtra",2008,0,19.9,835.9,61.1
"Madhya Maharashtra",2009,1.7,8.9,709.4,221.8
"Madhya Maharashtra",2010,3,8.6,865.3,150.6
"Madhya Maharashtra",2011,0.3,8.2,781.3,62.8
"Madhya Maharashtra",2012,0,4.4,588.1,97.3
"Madhya Maharashtra",2013,5.3,12.4,881.5,63.1
"Madhya Maharashtra",2014,9.3,61.7,682.6,84.4
"Madhya Maharashtra",2015,2.2,75.3,502.5,64.5
"Madhya Maharashtra",2016,0.7,16.2,824.9,64.4
"Madhya Maharashtra",2017,0,19.2,852.3,122.9
Matathwada,1997,8.8,30.6,491.3,259.8
Matathwada,1998,0.5,13.8,930.5,181.9
Matathwada,1999,6,18,623.6,119.9
Matathwada,2000,4.2,17.2,629.9,33.2
Matathwada,2001,5.3,11.2,544.6,171.3
Matathwada,2002,9.6,15.3,646,51.3
Matathwada,2003,3.4,35.7,653.1,27.8
Matathwada,2004,1.7,37.8,553.9,85.3
Matathwada,2005,13.8,15.3,810.9,100.5
Matathwada,2006,0,59.1,761.5,52.3
Matathwada,2007,0,10.8,695.3,8.5
Matathwada,2008,0.1,20.2,591.7,34.2
Matathwada,2009,0,8.4,529.8,130.7
Matathwada,2010,10,9.2,897.8,94.5
Matathwada,2011,3.8,7.3,627.7,24.8
Matathwada,2012,0,2.9,454.7,69.1
Matathwada,2013,10.9,16.9,745.3,114.8
Matathwada,2014,14.8,97.9,398.8,37.4
Matathwada,2015,11.7,83.8,412.4,24.3
Matathwada,2016,3.1,20.1,824.8,100.9
Matathwada,2017,0,8.1,642.1,105.4
Vidarbha,1997,16.3,29.3,767.9,225.7
Vidarbha,1998,27.4,35.1,883.1,116.1
Vidarbha,1999,21.1,33.5,1004.9,105.5
Vidarbha,2000,16.4,29,1048.2,11.5
Vidarbha,2001,9,41.4,937.8,134
Vidarbha,2002,6.3,12.1,870.3,37.1
Vidarbha,2003,4.4,9.3,960.1,44.7
Vidarbha,2004,15.8,16.3,665,34.8
Vidarbha,2005,81.8,11.7,1033.7,87.4
Vidarbha,2006,0,87.7,1073,54.8
Vidarbha,2007,1.4,5.8,1130,29.8
Vidarbha,2008,2.1,24.9,814.2,25.4
Vidarbha,2009,0.1,9.2,654.6,106.9
Vidarbha,2010,15.9,9.6,1221.2,91.3
Vidarbha,2011,1.2,8.4,878.8,4.7
Vidarbha,2012,3.2,0.8,1061.5,42.2
Vidarbha,2013,19.6,7,1360,133.5
Vidarbha,2014,19.5,56.3,817.5,25.8
Vidarbha,2015,31.1,107.2,848.2,7.3
Vidarbha,2016,5.9,37.5,1045.4,75
Vidarbha,2017,0.2,13.4,731.5,57.9
Chhattisgarh,1997,6.4,55.1,1120.6,135.1
Chhattisgarh,1998,76,55.6,1060.1,140.9
Chhattisgarh,1999,3.1,31.6,1194.9,93
Chhattisgarh,2000,2.6,11.4,887.8,4.6
Chhattisgarh,2001,1.1,48.7,1458.8,91.6
Chhattisgarh,2002,46.4,47.5,809.3,86.9
Chhattisgarh,2003,21.4,15.5,1479.1,178.2
Chhattisgarh,2004,54.5,31.1,1014.3,44.6
Chhattisgarh,2005,73.2,29,1099,86.1
Chhattisgarh,2006,2.7,66.8,1219,29.1
Chhattisgarh,2007,15.7,28,1167.2,70.3
Chhattisgarh,2008,16.4,42.9,1037.4,11.8
Chhattisgarh,2009,1.2,15.4,852,88
Chhattisgarh,2010,12.8,19.4,1172.2,102.1
Chhattisgarh,2011,11.8,54.4,1218.2,18.3
Chhattisgarh,2012,41.5,25.4,1265.4,45.1
Chhattisgarh,2013,22.5,56.4,1159.9,181.2
Chhattisgarh,2014,31.3,63.7,1102.1,81.6
Chhattisgarh,2015,17,71.2,1009.7,19.7
Chhattisgarh,2016,9.8,48.5,1177.8,79.8
Chhattisgarh,2017,1.6,19.8,1041.2,61.8
"Coastal Andhra Pradesh",1997,20.7,107.6,662.7,181
"Coastal Andhra Pradesh",1998,48.3,97.2,858,307.2
"Coastal Andhra Pradesh",1999,2.8,85.4,554.7,182.2
"Coastal Andhra Pradesh",2000,42.5,88.3,768.9,92.6
"Coastal Andhra Pradesh",2001,8.4,124.8,598.1,278
"Coastal Andhra Pradesh",2002,28,77.1,435,163
"Coastal Andhra Pradesh",2003,25.6,72.3,634.1,364.9
"Coastal Andhra Pradesh",2004,35.3,109.3,571.5,157.5
"Coastal Andhra Pradesh",2005,21.6,98,743.6,358.4
"Coastal Andhra Pradesh",2006,0,156.3,762.6,240.7
"Coastal Andhra Pradesh",2007,5.1,21.6,892.5,180
"Coastal Andhra Pradesh",2008,64.8,147.1,771.4,124.2
"Coastal Andhra Pradesh",2009,0,65.1,528.8,196.5
"Coastal Andhra Pradesh",2010,24.1,181.2,954,553.1
"Coastal Andhra Pradesh",2011,17.9,131.2,628.4,84.4
"Coastal Andhra Pradesh",2012,37.6,66.1,785,429.7
"Coastal Andhra Pradesh",2013,31.7,76.4,545,467.4
"Coastal Andhra Pradesh",2014,1.5,128,519.7,225.7
"Coastal Andhra Pradesh",2015,2.5,71.9,793.6,142.8
"Coastal Andhra Pradesh",2016,2.5,127.4,669.4,109.7
"Coastal Andhra Pradesh",2017,1,52,668.8,170.9
Telangana,1997,23.5,84.9,565.9,181.7
Telangana,1998,27.3,58.5,913.2,93.9
Telangana,1999,9.3,81.2,715.4,58
Telangana,2000,17.5,66.1,965.3,29.1
Telangana,2001,8.5,66.4,694.3,153.1
Telangana,2002,28.9,47.3,609,80.1
Telangana,2003,10.7,43.8,794.5,114.2
Telangana,2004,52.2,69.8,509.1,35.9
Telangana,2005,57.5,58.2,888.5,158.8
Telangana,2006,0,127.5,862.7,62.8
Telangana,2007,0,9.4,780.2,53.8
Telangana,2008,18.8,129.3,854.8,32.5
Telangana,2009,0,19.8,546.2,100.3
Telangana,2010,15.5,32,1080.4,148.5
Telangana,2011,11.9,37.4,685.6,18.1
Telangana,2012,6.7,22.6,857,122.3
Telangana,2013,31.4,33,1059.2,225
Telangana,2014,3.1,141.9,560.2,41
Telangana,2015,17.5,132,690.1,17.6
Telangana,2016,1.4,70.9,899.8,71.3
Telangana,2017,0,34.3,664.9,116.4
Rayalseema,1997,17.9,86.6,402.5,327.9
Rayalseema,1998,3.3,66,546.1,332.6
Rayalseema,1999,5.8,80.4,268.8,182.1
Rayalseema,2000,34.3,96.1,531.8,209.1
Rayalseema,2001,7.7,99.2,385.4,432.3
Rayalseema,2002,28.8,80.2,281.6,224.6
Rayalseema,2003,1.3,45.2,482.2,196.8
Rayalseema,2004,14.5,197.7,339.5,190.1
Rayalseema,2005,14.9,101.6,418.6,531.2
Rayalseema,2006,0.2,105.2,345.7,187
Rayalseema,2007,0.5,21.2,665,294
Rayalseema,2008,25.1,109.1,339.8,323.9
Rayalseema,2009,0.5,61.1,386.4,240.3
Rayalseema,2010,5.5,79,573.8,305.2
Rayalseema,2011,12.8,67.6,408.2,249.4
Rayalseema,2012,2.7,74,376.2,262.1
Rayalseema,2013,31.9,77.3,443,210.5
Rayalseema,2014,0.9,64.2,331.5,155.2
Rayalseema,2015,1.9,126.4,376,542.8
Rayalseema,2016,7.9,81.7,391.9,73.9
Rayalseema,2017,3.9,61.5,507.2,261.8
"Tamil Nadu",1997,7.9,93.5,286.3,562.8
"Tamil Nadu",1998,12.5,83.6,419.6,564
"Tamil Nadu",1999,32.3,135.3,249.6,505.3
"Tamil Nadu",2000,104.7,105.6,403.9,357.8
"Tamil Nadu",2001,32.7,151.8,149.5,149.3
"Tamil Nadu",2002,25,45.7,94.2,153.1
"Tamil Nadu",2003,4.4,54.8,136.6,152.6
"Tamil Nadu",2004,3.5,120.3,413.2,500.6
"Tamil Nadu",2005,15.2,233,334.8,782.3
"Tamil Nadu",2006,15.5,150.2,280.6,481.6
"Tamil Nadu",2007,14.7,104.7,399.7,548
"Tamil Nadu",2008,40.8,250,321.5,591.2
"Tamil Nadu",2009,7.9,157.2,280.4,482.9
"Tamil Nadu",2010,11.9,116.7,365.4,601.2
"Tamil Nadu",2011,15.5,132.8,306.4,471.8
"Tamil Nadu",2012,3.1,79.9,259.5,293.6
"Tamil Nadu",2013,34.8,92.2,321.5,293.4
"Tamil Nadu",2014,13.4,155.5,315.1,428.9
"Tamil Nadu",2015,10.6,242.8,285.9,665.3
"Tamil Nadu",2016,3.3,111.9,253.9,166
"Tamil Nadu",2017,38.4,126.1,414.6,393.9
"Coastal Karnataka",1997,0.7,59.5,3575.8,317.5
"Coastal Karnataka",1998,0,80,3265.1,362.9
"Coastal Karnataka",1999,0.4,343,3084.9,351.5
"Coastal Karnataka",2000,15.5,243,2903.3,189.6
"Coastal Karnataka",2001,1,228.7,2663.1,218.9
"Coastal Karnataka",2002,11.8,195.3,2205,381
"Coastal Karnataka",2003,3.8,55.9,2817.9,194.4
"Coastal Karnataka",2004,0.1,360.3,2552.8,156.8
"Coastal Karnataka",2005,0.6,117.5,3147.2,205.6
"Coastal Karnataka",2006,1,366.3,3160.6,309.4
"Coastal Karnataka",2007,0,101.9,3567.2,191.1
"Coastal Karnataka",2008,14.8,259,2808.1,124.4
"Coastal Karnataka",2009,0.4,160.4,3246,455.2
"Coastal Karnataka",2010,14.8,145.9,2988.9,537.2
"Coastal Karnataka",2011,8.6,124.1,3505.4,270.5
"Coastal Karnataka",2013,21.9,147.9,3727.6,332
"Coastal Karnataka",2014,0.3,224.3,3162.6,297.2
"Coastal Karnataka",2015,2.4,254.8,2501.8,347.1
"Coastal Karnataka",2016,0.5,98.3,2423.5,97.5
"Coastal Karnataka",2017,1.1,141,2593.2,212.3
"North Interior Karnataka",1997,4.3,54.9,852.7,183.7
"North Interior Karnataka",1998,0,39.2,626.7,186.6
"North Interior Karnataka",1999,3.4,93.5,410.7,153.2
"North Interior Karnataka",2000,3,57.4,533.6,118.3
"North Interior Karnataka",2001,2.1,35.5,418.9,141.4
"North Interior Karnataka",2002,11.7,55.6,333.4,129.9
"North Interior Karnataka",2003,1.8,43.6,329.7,98.4
"North Interior Karnataka",2004,5.3,125.3,445.2,66.1
"North Interior Karnataka",2005,6.6,92.6,601,107.4
"North Interior Karnataka",2006,0,107.9,470,72.6
"North Interior Karnataka",2007,18.5,73.7,681.5,63.2
"North Interior Karnataka",2008,9.6,161.3,452.3,89.2
"North Interior Karnataka",2009,0.3,90.4,597.9,224.9
"North Interior Karnataka",2010,12.1,55.6,630.4,155.2
"North Interior Karnataka",2011,7.7,95.2,473.1,79.2
"North Interior Karnataka",2012,34.7,55.3,359.3,134.5
"North Interior Karnataka",2013,7.3,75.7,534.9,105.2
"North Interior Karnataka",2014,6.1,148.7,482.5,119.5
"North Interior Karnataka",2015,2.4,123.6,357.2,68.6
"North Interior Karnataka",2016,0.7,67.2,524.3,32.8
"North Interior Karnataka",2017,0,65.5,520.5,153.7
"South Interior Karnataka",1997,4.9,97.5,785.8,291.8
"South Interior Karnataka",1998,0.1,82.2,815.4,215.7
"South Interior Karnataka",1999,4.7,174.9,665.9,304.2
"South Interior Karnataka",2000,16.9,105.9,852.1,232.3
"South Interior Karnataka",2001,1.6,122.7,637.2,164.8
"South Interior Karnataka",2002,13.4,100,454.5,187.8
"South Interior Karnataka",2003,4.3,66.1,484.9,207.4
"South Interior Karnataka",2004,21.9,258.7,716.8,136
"South Interior Karnataka",2005,11.1,153.8,851,303.5
"South Interior Karnataka",2006,0.3,187.2,695.3,147.7
"South Interior Karnataka",2007,0.4,117.5,927.9,185.3
"South Interior Karnataka",2008,21.5,200.1,764.4,154.6
"South Interior Karnataka",2009,0.2,153.9,827.5,176.8
"South Interior Karnataka",2010,9.5,171.6,743.1,315.5
"South Interior Karnataka",2011,14.5,176.1,690.2,206.5
"South Interior Karnataka",2012,10.1,152.6,563.5,151.6
"South Interior Karnataka",2013,10.6,142,827.1,131
"South Interior Karnataka",2014,2.8,195,794.5,191.8
"South Interior Karnataka",2015,1.9,230.2,631.8,248.6
"South Interior Karnataka",2016,4,103.9,517.4,61.9
"South Interior Karnataka",2017,5,191.8,665.2,199.8
Kerala,1997,3.7,230.2,2342.9,675.7
Kerala,1998,8,220.8,2263.4,659.3
Kerala,1999,25.5,586.2,1661.9,640.9
Kerala,2000,69.5,242.3,1739.4,361.5
Kerala,2001,44.7,483.7,1892,510.7
Kerala,2002,13.3,483.7,1359,651.3
Kerala,2003,51.6,307.5,1542.6,493.1
Kerala,2004,10.5,762,1669.5,444
Kerala,2005,26.8,366,2157.6,480.7
Kerala,2006,8.6,677.2,2193.8,541
Kerala,2007,6.1,338.4,2688.5,456.5
Kerala,2008,31.1,406.7,1670.9,415.7
Kerala,2009,4.8,323.1,1958.9,523.8
Kerala,2010,19.6,360.9,1928,823.3
Kerala,2011,66.2,313.5,2209.1,446.3
Kerala,2012,18.3,287.4,1535.6,309.8
Kerala,2013,43.9,218.5,2561.2,431.8
Kerala,2014,14.9,364.5,2164.8,502.1
Kerala,2015,8.9,465.9,1514.7,611.1
Kerala,2016,19.3,314.2,1352.3,185
Kerala,2017,13,353.9,1856.5,441.5
Lakshadweep,1997,2.3,101,1127.4,534
Lakshadweep,1998,52,110.3,1242.2,582.4
Lakshadweep,1999,50.3,455.6,946.2,405.2
Lakshadweep,2000,102.2,255.9,805.3,208.7
Lakshadweep,2001,24.8,291.9,840.6,223.3
Lakshadweep,2002,27.6,220.4,537,248.5
Lakshadweep,2003,30,156.2,941.5,405.2
Lakshadweep,2004,8.7,339.8,901.5,303.2
Lakshadweep,2005,28.7,129.8,1007.8,409.1
Lakshadweep,2006,20.1,361.2,928.4,288.9
Lakshadweep,2007,6.7,188.6,1753,413.3
Lakshadweep,2008,25.3,316.9,934,450.6
Lakshadweep,2009,6.2,180.3,997.7,385.9
Lakshadweep,2010,18.8,115.8,1152.2,438.4
Lakshadweep,2011,7.9,196.2,1013,316.6
Lakshadweep,2012,19.3,99.6,1119.5,167.1
Lakshadweep,2013,60.6,131.1,1057,177.6
Lakshadweep,2014,69.3,76.7,958.5,290.5
Lakshadweep,2015,2.7,223.9,860.9,555.4
Lakshadweep,2016,71.7,83.2,745.4,165.4
Lakshadweep,2017,22.2,247.8,1108.3,360.7
